TTO,IBI,TIME
1481.71875,0.6875,
1482.359375,0.640625,
1483,0.640625,
1483.65625,0.65625,
1484.296875,0.640625,
1484.90625,0.609375,
1485.546875,0.640625,
1486.1875,0.640625,
1486.828125,0.640625,
1487.5,0.671875,
1488.109375,0.609375,
1488.8125,0.703125,
1492.265625,0.734375,
1492.921875,0.65625,
1493.65625,0.734375,
1500.015625,0.671875,
1500.71875,0.703125,
1501.375,0.65625,
1502.09375,0.71875,
1502.78125,0.6875,
1503.5,0.71875,
1504.328125,0.828125,
1505.171875,0.84375,
1505.890625,0.71875,
1506.703125,0.8125,
1513.875,0.671875,
1514.546875,0.671875,
1515.203125,0.65625,
1515.859375,0.65625,
1516.53125,0.671875,
1517.203125,0.671875,
1522.609375,0.6875,
1530.640625,0.65625,
1531.296875,0.65625,
1535.3125,0.6875,
1539.203125,0.625,
1539.890625,0.6875,
1540.53125,0.640625,
1541.1875,0.65625,
1541.859375,0.671875,
1542.546875,0.6875,
1543.21875,0.671875,
1546.828125,0.71875,
1547.53125,0.703125,
1548.25,0.71875,
1548.953125,0.703125,
1549.65625,0.703125,
1550.375,0.71875,
1551.0625,0.6875,
1551.796875,0.734375,
1552.515625,0.71875,
1553.21875,0.703125,
1553.9375,0.71875,
1554.640625,0.703125,
1555.34375,0.703125,
1556.03125,0.6875,
1556.765625,0.734375,
1557.5,0.734375,
1558.1875,0.6875,
1558.875,0.6875,
1559.578125,0.703125,
1560.25,0.671875,
1560.890625,0.640625,
1565.15625,0.78125,
1565.859375,0.703125,
1566.578125,0.71875,
1567.359375,0.78125,
1568.078125,0.71875,
1568.796875,0.71875,
1569.53125,0.734375,
1570.265625,0.734375,
1574.6875,0.8125,
1578.1875,0.6875,
2203.40625,0.484375,
2211.171875,0.546875,
2211.734375,0.5625,
2212.28125,0.546875,
2212.859375,0.578125,
2213.5,0.640625,
2229.75,0.71875,
2230.296875,0.546875,
2269.296875,0.609375,
2269.96875,0.671875,
2333.234375,0.703125,
2341.796875,0.609375,
2342.4375,0.640625,
2343.046875,0.609375,
2343.703125,0.65625,
2344.34375,0.640625,
2345,0.65625,
2345.65625,0.65625,
2346.328125,0.671875,
2346.953125,0.625,
2347.625,0.671875,
2348.28125,0.65625,
2348.96875,0.6875,
2371.234375,0.828125,
2501.71875,0.578125,
2502.359375,0.640625,
2502.859375,0.5,
2503.390625,0.53125,
2506.390625,0.671875,
2510.796875,0.703125,
2517.484375,0.921875,
2518.265625,0.78125,
2519.03125,0.765625,
2519.828125,0.796875,
2520.578125,0.75,
2580.78125,0.734375,
2581.609375,0.828125,
2582.375,0.765625,
2583.09375,0.71875,
2583.84375,0.75,
2584.5625,0.71875,
2585.234375,0.671875,
2585.953125,0.71875,
2586.640625,0.6875,
2587.3125,0.671875,
2588.03125,0.71875,
2588.71875,0.6875,
2589.421875,0.703125,
2590.125,0.703125,
2590.875,0.75,
2591.625,0.75,
2592.328125,0.703125,
2593.078125,0.75,
2593.78125,0.703125,
2594.453125,0.671875,
2595.140625,0.6875,
2595.8125,0.671875,
2596.515625,0.703125,
2597.203125,0.6875,
2597.84375,0.640625,
2598.515625,0.671875,
2599.171875,0.65625,
2599.828125,0.65625,
2600.515625,0.6875,
2601.171875,0.65625,
2601.875,0.703125,
2602.53125,0.65625,
2603.21875,0.6875,
2603.921875,0.703125,
2604.59375,0.671875,
2605.328125,0.734375,
2606,0.671875,
2606.703125,0.703125,
2607.40625,0.703125,
2608.140625,0.734375,
2608.90625,0.765625,
2609.609375,0.703125,
2610.34375,0.734375,
2611.046875,0.703125,
2611.796875,0.75,
2612.53125,0.734375,
2613.234375,0.703125,
2613.921875,0.6875,
2614.640625,0.71875,
2615.3125,0.671875,
2615.859375,0.546875,
2618.9375,0.71875,
2619.65625,0.71875,
2620.421875,0.765625,
2621.1875,0.765625,
2621.9375,0.75,
2622.6875,0.75,
2623.4375,0.75,
2624.203125,0.765625,
2624.984375,0.78125,
2625.703125,0.71875,
2626.421875,0.71875,
2627.09375,0.671875,
2627.765625,0.671875,
2628.40625,0.640625,
2629.0625,0.65625,
2629.71875,0.65625,
2630.3125,0.59375,
2634.21875,0.765625,
2635.09375,0.875,
2635.859375,0.765625,
2641.984375,0.8125,
2642.828125,0.84375,
2643.65625,0.828125,
2644.515625,0.859375,
2645.421875,0.90625,
2646.296875,0.875,
2647.171875,0.875,
2648.078125,0.90625,
2648.953125,0.875,
2649.828125,0.875,
2650.71875,0.890625,
2651.5625,0.84375,
2652.421875,0.859375,
2653.265625,0.84375,
2654.0625,0.796875,
2654.890625,0.828125,
2655.71875,0.828125,
2656.53125,0.8125,
2657.296875,0.765625,
2658.046875,0.75,
2658.828125,0.78125,
2659.796875,0.96875,
2660.609375,0.8125,
2661.40625,0.796875,
2662.140625,0.734375,
2662.875,0.734375,
2663.609375,0.734375,
2664.328125,0.71875,
2665.0625,0.734375,
2665.796875,0.734375,
2666.53125,0.734375,
2667.296875,0.765625,
2668.015625,0.71875,
2668.75,0.734375,
2669.5,0.75,
2670.265625,0.765625,
2671.046875,0.78125,
2671.84375,0.796875,
2672.59375,0.75,
2673.390625,0.796875,
2674.15625,0.765625,
2674.9375,0.78125,
2675.734375,0.796875,
2676.484375,0.75,
2677.1875,0.703125,
2677.953125,0.765625,
2678.703125,0.75,
2679.421875,0.71875,
2680.140625,0.71875,
2680.84375,0.703125,
